COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Cindy Cash,David K. Setzer,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,190,PCT 190,82,42,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,191,PCT 191,603,227,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,192,PCT 192,3404,1841,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,193,PCT 193,1193,604,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,194,PCT 194,31,17,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,195,PCT 195,916,541,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,196,PCT 196,1904,994,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,197,PCT 197,1283,681,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,198,PCT 198,124,65,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,199,PCT 199,3269,1928,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,200,PCT 200,1943,991,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,201,PCT 201,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,202,PCT 202,2,2,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,203,PCT 203,3150,1853,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,204,PCT 204,349,230,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,205,PCT 205,34,18,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,205,PCT 205,34,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,206,PCT 206,1781,996,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,207,PCT 207,3993,2125,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,208,PCT 208,3375,2140,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,209,PCT 209,1187,614,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,210,PCT 210,1661,914,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,211,PCT 211,3302,1758,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
