COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Julia Maldonado,REP Evan Young,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,177,PCT 177,3203,1500,0,540,929,0,31,REP Evan Young,REP
COLL,178,PCT 178,3002,1556,0,371,1142,0,43,REP Evan Young,REP
COLL,179,PCT 179,4634,3237,0,795,2321,0,121,REP Evan Young,REP
COLL,180,PCT 180,3313,1580,0,739,781,0,60,REP Evan Young,REP
COLL,181,PCT 181,2563,1147,0,400,714,0,33,REP Evan Young,REP
COLL,182,PCT 182,3909,2004,0,873,1062,0,69,REP Evan Young,REP
COLL,183,PCT 183,115,46,0,11,35,0,0,REP Evan Young,REP
COLL,184,PCT 184,3232,1307,1,683,588,0,36,DEM Julia Maldonado,DEM
COLL,185,PCT 185,48,22,0,8,14,0,0,REP Evan Young,REP
COLL,186,PCT 186,146,68,0,9,57,0,2,REP Evan Young,REP
COLL,187,PCT 187,573,337,0,35,296,0,6,REP Evan Young,REP
COLL,188,PCT 188,64,41,0,5,34,0,2,REP Evan Young,REP
COLL,189,PCT 189,849,440,1,59,369,0,12,REP Evan Young,REP
COLL,190,PCT 190,82,42,0,6,34,0,2,REP Evan Young,REP
COLL,191,PCT 191,603,227,0,50,171,0,6,REP Evan Young,REP
COLL,192,PCT 192,3404,1841,1,421,1367,0,53,REP Evan Young,REP
COLL,193,PCT 193,1193,604,0,123,455,0,26,REP Evan Young,REP
COLL,194,PCT 194,31,17,0,2,15,0,0,REP Evan Young,REP
COLL,195,PCT 195,916,541,0,118,406,0,17,REP Evan Young,REP
COLL,196,PCT 196,1904,994,0,397,571,0,26,REP Evan Young,REP
COLL,197,PCT 197,1283,681,0,373,282,0,26,DEM Julia Maldonado,DEM
COLL,198,PCT 198,124,65,0,5,60,0,0,REP Evan Young,REP
COLL,199,PCT 199,3269,1928,0,515,1376,0,37,REP Evan Young,REP
COLL,200,PCT 200,1943,991,1,249,703,0,39,REP Evan Young,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,202,PCT 202,2,2,0,2,0,0,0,DEM Julia Maldonado,DEM
COLL,203,PCT 203,3150,1853,0,627,1156,0,70,REP Evan Young,REP
COLL,204,PCT 204,349,230,0,68,153,0,9,REP Evan Young,REP
COLL,205,PCT 205,34,18,0,5,13,0,0,REP Evan Young,REP
COLL,205,PCT 205,34,0,0,0,0,0,0,REP Evan Young,REP
COLL,206,PCT 206,1781,996,0,369,586,0,41,REP Evan Young,REP
COLL,207,PCT 207,3993,2125,1,772,1289,0,64,REP Evan Young,REP
COLL,208,PCT 208,3375,2140,0,711,1366,0,63,REP Evan Young,REP
COLL,209,PCT 209,1187,614,0,228,377,0,9,REP Evan Young,REP
COLL,210,PCT 210,1661,914,1,475,410,0,29,DEM Julia Maldonado,DEM
COLL,211,PCT 211,3302,1758,1,683,1023,0,52,REP Evan Young,REP
COLL,212,PCT 212,5564,2799,1,1501,1206,0,92,DEM Julia Maldonado,DEM
COLL,213,PCT 213,3612,1848,0,901,889,0,58,DEM Julia Maldonado,DEM
COLL,214,PCT 214,4427,2716,0,577,2080,0,59,REP Evan Young,REP
COLL,215,PCT 215,2543,1056,0,324,696,0,36,REP Evan Young,REP
COLL,216,PCT 216,6210,3332,0,1004,2243,0,85,REP Evan Young,REP
COLL,217,PCT 217,2919,1550,0,574,930,0,46,REP Evan Young,REP
COLL,218,PCT 218,4110,2281,1,1079,1139,0,63,REP Evan Young,REP
COLL,219,PCT 219,4072,2234,0,1064,1110,0,60,REP Evan Young,REP
COLL,220,PCT 220,4641,2219,0,1175,992,0,52,DEM Julia Maldonado,DEM
COLL,221,PCT 221,5138,2874,0,943,1845,0,86,REP Evan Young,REP
COLL,222,PCT 222,3575,1933,0,908,977,0,48,REP Evan Young,REP
COLL,223,PCT 223,2154,1196,0,518,653,0,25,REP Evan Young,REP
COLL,224,PCT 224,3036,1808,0,416,1354,0,38,REP Evan Young,REP
COLL,225,PCT 225,3815,1819,0,936,843,0,40,DEM Julia Maldonado,DEM
COLL,226,PCT 226,4365,2250,0,1090,1086,0,74,DEM Julia Maldonado,DEM
COLL,227,PCT 227,4310,2285,1,1037,1180,0,68,REP Evan Young,REP
COLL,228,PCT 228,5265,2155,0,1047,1046,0,62,DEM Julia Maldonado,DEM
COLL,229,PCT 229,1738,866,0,409,432,0,25,REP Evan Young,REP
COLL,230,PCT 230,4826,2039,0,1025,956,0,58,DEM Julia Maldonado,DEM
COLL,231,PCT 231,3247,1754,0,715,993,0,46,REP Evan Young,REP
COLL,232,PCT 232,3600,1991,0,762,1158,0,71,REP Evan Young,REP
COLL,233,PCT 233,1922,968,0,378,566,0,24,REP Evan Young,REP
COLL,234,PCT 234,2546,1484,0,755,700,0,29,DEM Julia Maldonado,DEM
COLL,235,PCT 235,1874,966,0,489,447,0,30,DEM Julia Maldonado,DEM
COLL,236,PCT 236,2889,1678,0,547,1073,0,58,REP Evan Young,REP
COLL,237,PCT 237,2253,1011,0,474,499,0,38,REP Evan Young,REP
COLL,238,PCT 238,3923,1715,0,897,763,0,55,DEM Julia Maldonado,DEM
COLL,239,PCT 239,4257,2284,0,629,1605,0,50,REP Evan Young,REP
COLL,240,PCT 240,6041,3348,0,882,2383,0,83,REP Evan Young,REP
COLL,241,PCT 241,1507,870,3,378,454,0,38,REP Evan Young,REP
COLL,242,PCT 242,3356,1912,0,777,1079,0,56,REP Evan Young,REP
COLL,243,PCT 243,1517,915,0,254,635,0,26,REP Evan Young,REP
COLL,244,PCT 244,3107,1762,0,750,955,0,57,REP Evan Young,REP
COLL,245,PCT 245,2774,1151,0,516,596,0,39,REP Evan Young,REP
COLL,246,PCT 246,2832,1691,0,748,905,0,38,REP Evan Young,REP
COLL,247,PCT 247,2148,1364,0,352,974,0,38,REP Evan Young,REP
COLL,248,PCT 248,2116,1087,0,468,587,0,32,REP Evan Young,REP
COLL,249,PCT LB 96,0,380,0,219,151,0,10,DEM Julia Maldonado,DEM
COLL,250,PCT LB 97,0,188,0,112,73,0,3,DEM Julia Maldonado,DEM
COLL,251,PCT LB 98,0,9,0,2,6,0,1,REP Evan Young,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,253,PCT LB 100,0,5,0,2,3,0,0,REP Evan Young,REP
COLL,254,PCT LB 101,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,255,PCT LB 102,0,2,0,2,0,0,0,DEM Julia Maldonado,DEM
COLL,256,PCT LB 103,0,1,0,1,0,0,0,DEM Julia Maldonado,DEM
COLL,257,PCT LB 104,0,5,0,3,2,0,0,DEM Julia Maldonado,DEM
COLL,258,PCT LB 105,0,16,0,7,9,0,0,REP Evan Young,REP
COLL,259,PCT LB 106,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,260,PCT LB 107,0,2,0,2,0,0,0,DEM Julia Maldonado,DEM
COLL,261,PCT LB 108,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,262,PCT LB 109,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,263,PCT LB 110,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,264,PCT LB 111,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,265,PCT LB 112,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,266,PCT LB 113,0,0,0,0,0,0,0,REP Evan Young,REP
COLL,267,PCT LB 114,0,0,0,0,0,0,0,REP Evan Young,REP
