COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Jonathan Cocks,LIB Edward Kless,REP Angela Paxton,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,174,PCT 174,4497,2129,1,837,60,1161,0,71,REP Angela Paxton,REP
COLL,175,PCT 175,1978,1116,0,414,25,640,0,37,REP Angela Paxton,REP
COLL,176,PCT 176,4032,1467,0,806,49,579,0,33,DEM Jonathan Cocks,DEM
COLL,177,PCT 177,3203,1500,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,178,PCT 178,3002,1556,0,372,40,1100,0,44,REP Angela Paxton,REP
COLL,179,PCT 179,4634,3237,0,872,87,2169,0,109,REP Angela Paxton,REP
COLL,180,PCT 180,3313,1580,0,736,35,769,0,40,REP Angela Paxton,REP
COLL,181,PCT 181,2563,1147,0,382,37,701,0,27,REP Angela Paxton,REP
COLL,182,PCT 182,3909,2004,0,899,56,989,0,60,REP Angela Paxton,REP
COLL,183,PCT 183,163,68,0,18,1,48,0,1,REP Angela Paxton,REP
COLL,184,PCT 184,3232,1307,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,185,PCT 185,2645,1408,1,435,42,901,0,29,REP Angela Paxton,REP
COLL,186,PCT 186,719,405,0,49,8,336,0,12,REP Angela Paxton,REP
COLL,187,PCT 187,830,409,0,148,12,238,0,11,REP Angela Paxton,REP
COLL,188,PCT 188,581,286,0,104,8,167,0,8,REP Angela Paxton,REP
COLL,189,PCT 189,1074,554,1,78,20,439,0,17,REP Angela Paxton,REP
COLL,190,PCT 190,954,586,0,127,11,432,0,16,REP Angela Paxton,REP
COLL,191,PCT 191,603,227,0,53,2,169,0,3,REP Angela Paxton,REP
COLL,192,PCT 192,2869,1552,1,334,41,1126,0,51,REP Angela Paxton,REP
COLL,193,PCT 193,1224,621,0,129,18,455,0,19,REP Angela Paxton,REP
COLL,194,PCT 194,2493,1367,0,360,39,927,0,41,REP Angela Paxton,REP
COLL,195,PCT 195,916,541,0,122,21,384,0,14,REP Angela Paxton,REP
COLL,196,PCT 196,1904,994,0,393,28,553,0,20,REP Angela Paxton,REP
COLL,197,PCT 197,1283,681,0,369,15,271,0,26,DEM Jonathan Cocks,DEM
COLL,198,PCT 198,1643,1121,0,357,33,709,0,22,REP Angela Paxton,REP
COLL,199,PCT 199,3269,1928,0,512,52,1330,0,34,REP Angela Paxton,REP
COLL,200,PCT 200,1943,991,1,256,31,668,0,36,REP Angela Paxton,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,202,PCT 202,2,2,0,2,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,203,PCT 203,3150,1853,0,665,67,1059,0,62,REP Angela Paxton,REP
COLL,204,PCT 204,349,230,0,70,5,143,0,12,REP Angela Paxton,REP
COLL,205,PCT 205,3804,1928,5,786,53,1024,0,64,REP Angela Paxton,REP
COLL,206,PCT 206,1781,996,0,377,25,555,0,39,REP Angela Paxton,REP
COLL,207,PCT 207,3993,2125,1,769,51,1252,0,53,REP Angela Paxton,REP
COLL,208,PCT 208,3375,2140,0,728,59,1299,0,54,REP Angela Paxton,REP
COLL,209,PCT 209,169,87,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,210,PCT 210,1661,914,1,467,24,391,0,32,DEM Jonathan Cocks,DEM
COLL,211,PCT 211,3302,1758,1,714,49,954,0,41,REP Angela Paxton,REP
COLL,212,PCT 212,5564,2799,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,213,PCT 213,3612,1848,0,883,39,888,0,38,REP Angela Paxton,REP
COLL,214,PCT 214,3473,2130,0,463,39,1572,0,56,REP Angela Paxton,REP
COLL,215,PCT 215,2543,1056,0,315,36,668,0,37,REP Angela Paxton,REP
COLL,216,PCT 216,6210,3332,0,1009,89,2151,0,83,REP Angela Paxton,REP
COLL,217,PCT 217,2919,1550,0,568,56,885,0,41,REP Angela Paxton,REP
COLL,218,PCT 218,4110,2281,1,1078,60,1075,0,68,DEM Jonathan Cocks,DEM
COLL,219,PCT 219,4072,2234,0,1083,55,1053,0,43,DEM Jonathan Cocks,DEM
COLL,220,PCT 220,2051,981,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,221,PCT 221,2000,1119,0,385,28,675,0,30,REP Angela Paxton,REP
COLL,222,PCT 222,3575,1933,0,919,39,930,0,45,REP Angela Paxton,REP
COLL,223,PCT 223,2154,1196,0,533,27,611,0,25,REP Angela Paxton,REP
COLL,224,PCT 224,3036,1808,0,439,31,1291,0,47,REP Angela Paxton,REP
COLL,225,PCT 225,3815,1819,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,226,PCT 226,4365,2250,0,1094,56,1038,0,62,DEM Jonathan Cocks,DEM
COLL,227,PCT 227,4310,2285,1,1004,108,1102,0,71,REP Angela Paxton,REP
COLL,228,PCT 228,4161,1703,0,809,43,808,0,42,DEM Jonathan Cocks,DEM
COLL,229,PCT 229,1738,866,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,230,PCT 230,4826,2039,0,1012,61,910,0,56,DEM Jonathan Cocks,DEM
COLL,231,PCT 231,3247,1754,0,705,57,951,0,41,REP Angela Paxton,REP
COLL,232,PCT 232,3600,1991,0,750,50,1116,0,75,REP Angela Paxton,REP
COLL,233,PCT 233,1922,968,0,369,30,546,0,23,REP Angela Paxton,REP
COLL,234,PCT 234,2546,1484,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,235,PCT 235,1874,966,0,498,11,431,0,26,DEM Jonathan Cocks,DEM
COLL,236,PCT 236,2889,1678,0,573,46,1008,0,51,REP Angela Paxton,REP
COLL,237,PCT 237,2253,1011,0,470,17,488,0,36,REP Angela Paxton,REP
COLL,238,PCT 238,3923,1715,0,886,42,737,0,50,DEM Jonathan Cocks,DEM
COLL,239,PCT 239,4257,2284,0,626,51,1565,0,42,REP Angela Paxton,REP
COLL,240,PCT 240,6041,3348,0,865,82,2325,0,76,REP Angela Paxton,REP
COLL,241,PCT 241,1507,870,3,372,25,434,0,39,REP Angela Paxton,REP
COLL,242,PCT 242,3356,1912,0,794,50,1020,0,48,REP Angela Paxton,REP
COLL,243,PCT 243,1517,915,0,262,29,600,0,24,REP Angela Paxton,REP
COLL,244,PCT 244,3107,1762,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,245,PCT 245,2774,1151,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,246,PCT 246,2832,1691,0,778,44,822,0,47,REP Angela Paxton,REP
COLL,247,PCT 247,2148,1364,0,376,39,918,0,31,REP Angela Paxton,REP
COLL,248,PCT 248,2116,1087,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,249,PCT LB 96,0,380,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,250,PCT LB 97,0,188,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,251,PCT LB 98,0,9,0,3,0,5,0,1,REP Angela Paxton,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,253,PCT 253,2590,1238,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,254,PCT 254,1104,452,0,215,12,215,0,11,DEM Jonathan Cocks,DEM
COLL,255,PCT 255,2764,1623,0,520,43,1026,0,34,REP Angela Paxton,REP
COLL,256,PCT 256,535,289,0,62,8,210,0,9,REP Angela Paxton,REP
COLL,257,PCT 257,924,441,0,165,19,246,0,10,REP Angela Paxton,REP
COLL,258,PCT 258,2989,1538,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,259,PCT 259,3539,1743,0,731,50,914,0,49,REP Angela Paxton,REP
COLL,260,PCT 260,386,211,0,39,6,161,0,5,REP Angela Paxton,REP
COLL,261,PCT 261,3138,1755,0,604,45,1059,0,48,REP Angela Paxton,REP
