COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Debby Gowen,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,180,PCT 180,3492,2359,1,0,0,0,0,pct_int,pct_int,180
COLL,181,PCT 181,3166,2049,0,0,0,0,0,pct_int,pct_int,181
COLL,182,PCT 182,4037,2765,1,0,0,0,0,pct_int,pct_int,182
COLL,183,PCT 183,171,120,0,0,0,0,0,pct_int,pct_int,368
COLL,184,PCT 184,3360,1910,0,0,0,0,0,pct_int,pct_int,184
COLL,185,PCT 185,3352,2450,1,0,0,0,0,pct_int,pct_int,9
COLL,186,PCT 186,764,536,0,0,0,0,0,pct_int,pct_int,373
COLL,187,PCT 187,1044,697,0,0,0,0,0,pct_int,pct_int,3
COLL,188,PCT 188,731,488,0,0,0,0,0,pct_int,pct_int,2
COLL,189,PCT 189,1473,1016,0,0,0,0,0,pct_int,pct_int,379
COLL,190,PCT 190,1038,802,0,0,0,0,0,pct_int,pct_int,46
COLL,191,PCT 191,967,582,1,0,0,0,0,pct_int,pct_int,191
COLL,192,PCT 192,4114,2896,0,0,0,0,0,pct_int,pct_int,162
COLL,193,PCT 193,1341,896,0,0,0,0,0,pct_int,pct_int,387
COLL,194,PCT 194,3375,2400,0,0,0,0,0,pct_int,pct_int,16
COLL,195,PCT 195,935,674,0,0,0,0,0,pct_int,pct_int,195
COLL,196,PCT 196,2001,1352,0,0,0,0,0,pct_int,pct_int,196
COLL,197,PCT 197,1270,858,0,0,0,0,0,pct_int,pct_int,197
COLL,198,PCT 198,2904,2327,0,0,0,0,0,pct_int,pct_int,88
COLL,199,PCT 199,4135,3196,0,0,0,0,0,pct_int,pct_int,199
COLL,200,PCT 200,2726,1894,0,0,0,0,0,pct_int,pct_int,200
COLL,201,PCT 201,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,0,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3182,2344,0,0,0,0,0,pct_int,pct_int,203
COLL,204,PCT 204,354,282,0,0,0,0,0,pct_int,pct_int,204
COLL,205,PCT 205,4103,2879,2,0,0,0,0,pct_int,pct_int,118
COLL,206,PCT 206,2002,1431,0,0,0,0,0,pct_int,pct_int,206
COLL,207,PCT 207,4081,2925,1,0,0,0,0,pct_int,pct_int,207
COLL,208,PCT 208,4359,3323,0,0,0,0,0,pct_int,pct_int,208
COLL,209,PCT 209,172,125,0,0,0,0,0,pct_int,pct_int,30
COLL,210,PCT 210,1746,1290,0,0,0,0,0,pct_int,pct_int,210
COLL,211,PCT 211,3433,2455,0,0,0,0,0,pct_int,pct_int,211
COLL,212,PCT 212,2600,1945,0,0,0,0,0,pct_int,pct_int,212
COLL,213,PCT 213,3697,2611,0,0,0,0,0,pct_int,pct_int,213
COLL,214,PCT 214,3776,2920,0,0,0,0,0,pct_int,pct_int,168
COLL,215,PCT 215,3503,2092,1,0,0,0,0,pct_int,pct_int,215
COLL,216,PCT 216,4771,3565,0,0,0,0,0,pct_int,pct_int,216
COLL,217,PCT 217,3140,2190,1,0,0,0,0,pct_int,pct_int,217
COLL,218,PCT 218,4297,3093,1,0,0,0,0,pct_int,pct_int,218
COLL,219,PCT 219,4559,3137,1,0,0,0,0,pct_int,pct_int,219
COLL,220,PCT 220,2465,1745,0,0,0,0,0,pct_int,pct_int,97
COLL,221,PCT 221,2053,1470,0,0,0,0,0,pct_int,pct_int,86
COLL,222,PCT 222,3965,2870,1,0,0,0,0,pct_int,pct_int,222
COLL,223,PCT 223,2501,1839,0,0,0,0,0,pct_int,pct_int,223
COLL,224,PCT 224,3351,2568,1,0,0,0,0,pct_int,pct_int,224
COLL,225,PCT 225,3945,2807,2,0,0,0,0,pct_int,pct_int,225
COLL,226,PCT 226,4404,2945,0,0,0,0,0,pct_int,pct_int,226
COLL,227,PCT 227,4468,3160,0,0,0,0,0,pct_int,pct_int,227
COLL,228,PCT 228,4845,3037,1,0,0,0,0,pct_int,pct_int,180
COLL,229,PCT 229,2259,1494,0,0,0,0,0,pct_int,pct_int,229
COLL,230,PCT 230,4953,3021,0,0,0,0,0,pct_int,pct_int,230
COLL,231,PCT 231,3938,2850,0,0,0,0,0,pct_int,pct_int,231
COLL,232,PCT 232,3850,2755,0,0,0,0,0,pct_int,pct_int,232
COLL,233,PCT 233,2089,1443,0,0,0,0,0,pct_int,pct_int,233
COLL,234,PCT 234,3351,2585,0,0,0,0,0,pct_int,pct_int,234
COLL,235,PCT 235,1916,1332,3,0,0,0,0,pct_int,pct_int,235
COLL,236,PCT 236,3015,2217,1,0,0,0,0,pct_int,pct_int,236
COLL,237,PCT 237,2345,1522,3,0,0,0,0,pct_int,pct_int,237
COLL,238,PCT 238,4043,2583,0,0,0,0,0,pct_int,pct_int,238
COLL,239,PCT 239,4293,3051,0,0,0,0,0,pct_int,pct_int,239
COLL,240,PCT 240,4358,3212,0,0,0,0,0,pct_int,pct_int,240
COLL,241,PCT 241,1549,1115,0,0,0,0,0,pct_int,pct_int,241
COLL,242,PCT 242,3578,2604,0,0,0,0,0,pct_int,pct_int,242
COLL,243,PCT 243,1684,1272,0,0,0,0,0,pct_int,pct_int,243
COLL,244,PCT 244,3235,2337,0,0,0,0,0,pct_int,pct_int,244
COLL,245,PCT 245,2764,1651,0,0,0,0,0,pct_int,pct_int,245
COLL,246,PCT 246,2859,2137,1,0,0,0,0,pct_int,pct_int,246
COLL,247,PCT 247,2436,1876,0,0,0,0,0,pct_int,pct_int,247
COLL,248,PCT 248,2328,1645,0,0,0,0,0,pct_int,pct_int,248
COLL,249,PCT 249,4743,3053,0,0,0,0,0,pct_int,pct_int,249
COLL,250,PCT 250,3886,3025,0,0,0,0,0,pct_int,pct_int,250
COLL,251,PCT 251,2568,1852,0,0,0,0,0,pct_int,pct_int,251
COLL,252,PCT 252,3149,2338,0,0,0,0,0,pct_int,pct_int,252
COLL,253,PCT 253,3111,2203,1,0,0,0,0,pct_int,pct_int,123
COLL,254,PCT 254,1286,806,0,0,0,0,0,pct_int,pct_int,48
COLL,255,PCT 255,3292,2440,1,0,0,0,0,pct_int,pct_int,26
COLL,256,PCT 256,767,540,0,0,0,0,0,pct_int,pct_int,30
COLL,257,PCT 257,1342,890,1,0,0,0,0,pct_int,pct_int,2
COLL,258,PCT 258,3045,2073,1,0,0,0,0,pct_int,pct_int,72
COLL,259,PCT 259,3698,2420,0,0,0,0,0,pct_int,pct_int,40
COLL,260,PCT 260,438,319,0,0,0,0,0,pct_int,pct_int,2
COLL,261,PCT 261,3221,2306,0,0,0,0,0,pct_int,pct_int,135
COLL,262,PCT 262,3038,2081,0,0,0,0,0,pct_int,pct_int,97
COLL,263,PCT 263,2055,1544,1,0,0,0,0,pct_int,pct_int,11
