COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Ben Smith,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,76,PCT 076,3331,2363,4,1383,0,980,Rep Ben Smith,Rep
COLL,77,PCT 077,3677,2432,0,1237,0,1195,Rep Ben Smith,Rep
COLL,78,PCT 078,4899,3053,2,1490,0,1563,Rep Ben Smith,Rep
COLL,79,PCT 079,2773,1660,17,917,0,743,Rep Ben Smith,Rep
COLL,80,PCT 080,3657,2509,0,1415,0,1094,Rep Ben Smith,Rep
COLL,81,PCT 081,2973,2031,1,1057,0,974,Rep Ben Smith,Rep
COLL,82,PCT 082,3005,1870,0,1001,0,869,Rep Ben Smith,Rep
COLL,83,PCT 083,4265,2914,1,1929,0,985,Rep Ben Smith,Rep
COLL,84,PCT 084,2541,1705,11,971,0,734,Rep Ben Smith,Rep
COLL,85,PCT 085,3423,2301,1,1125,0,1176,Rep Ben Smith,Rep
COLL,86,PCT 086,3050,2194,0,1243,0,951,Rep Ben Smith,Rep
COLL,87,PCT 087,3486,2531,0,1429,0,1102,Rep Ben Smith,Rep
COLL,88,PCT 088,1661,726,7,312,0,414,Rep Ben Smith,Rep
COLL,89,PCT 089,3267,2264,0,1236,0,1028,Rep Ben Smith,Rep
COLL,90,PCT 090,3268,2400,0,1561,0,839,Rep Ben Smith,Rep
COLL,91,PCT 091,2325,1659,1,874,0,785,Rep Ben Smith,Rep
COLL,92,PCT 092,4619,2877,0,1570,0,1307,Rep Ben Smith,Rep
COLL,93,PCT 093,297,222,1,186,0,36,Rep Ben Smith,Rep
COLL,94,PCT 094,4318,3088,0,1624,0,1464,Rep Ben Smith,Rep
COLL,95,PCT 095,3171,2237,0,1250,0,987,Rep Ben Smith,Rep
COLL,96,PCT 096,1509,782,0,463,0,319,Rep Ben Smith,Rep
COLL,97,PCT 097,1344,1070,0,747,0,323,Rep Ben Smith,Rep
COLL,98,PCT 098,1618,1019,0,598,0,421,Rep Ben Smith,Rep
COLL,99,PCT 099,403,257,0,125,0,132,Rep Ben Smith,Rep
COLL,100,PCT 100,1545,1024,0,667,0,357,Rep Ben Smith,Rep
COLL,101,PCT 101,4300,2865,0,1695,0,1170,Rep Ben Smith,Rep
COLL,102,PCT 102,2555,1957,0,1331,0,626,Rep Ben Smith,Rep
COLL,103,PCT 103,1419,810,0,401,0,409,Rep Ben Smith,Rep
COLL,104,PCT 104,2426,1167,4,504,0,663,Rep Ben Smith,Rep
COLL,105,PCT 105,173,115,0,53,0,62,Rep Ben Smith,Rep
COLL,106,PCT 106,1869,1255,1,707,0,548,Rep Ben Smith,Rep
COLL,107,PCT 107,3373,2417,0,1286,0,1131,Rep Ben Smith,Rep
COLL,108,PCT 108,2997,2047,1,1057,0,990,Rep Ben Smith,Rep
COLL,109,PCT 109,4859,3312,0,2036,0,1276,Rep Ben Smith,Rep
COLL,110,PCT 110,2816,1947,1,1108,0,839,Rep Ben Smith,Rep
COLL,111,PCT 111,3096,2183,0,1510,0,673,Rep Ben Smith,Rep
COLL,112,PCT 112,3166,2322,0,1322,0,1000,Rep Ben Smith,Rep
COLL,113,PCT 113,3351,2087,0,1183,0,904,Rep Ben Smith,Rep
COLL,114,PCT 114,4252,3062,0,1933,0,1129,Rep Ben Smith,Rep
COLL,115,PCT 115,2995,2123,15,1125,0,998,Rep Ben Smith,Rep
COLL,116,PCT 116,5006,3553,1,2144,0,1409,Rep Ben Smith,Rep
COLL,117,PCT 117,4426,2934,2,1656,0,1278,Rep Ben Smith,Rep
COLL,118,PCT 118,4297,2996,0,1774,0,1222,Rep Ben Smith,Rep
COLL,119,PCT 119,2398,1696,2,974,0,722,Rep Ben Smith,Rep
COLL,120,PCT 120,3653,2693,0,1681,0,1012,Rep Ben Smith,Rep
COLL,121,PCT 121,2892,1952,1,992,0,960,Rep Ben Smith,Rep
COLL,122,PCT 122,4972,3708,1,2489,0,1219,Rep Ben Smith,Rep
COLL,123,PCT 123,2078,1458,0,871,0,587,Rep Ben Smith,Rep
COLL,124,PCT 124,3288,2171,1,1147,0,1024,Rep Ben Smith,Rep
COLL,125,PCT 125,2250,1532,0,759,0,773,Rep Ben Smith,Rep
COLL,126,PCT 126,4969,3443,0,2012,0,1431,Rep Ben Smith,Rep
COLL,127,PCT 127,3929,2671,1,1492,0,1179,Rep Ben Smith,Rep
COLL,128,PCT 128,3137,2395,0,1784,0,611,Rep Ben Smith,Rep
COLL,129,PCT 129,4643,3072,0,1819,0,1253,Rep Ben Smith,Rep
COLL,130,PCT 130,3972,2813,1,1530,0,1283,Rep Ben Smith,Rep
COLL,131,PCT 131,3151,2136,0,1388,0,748,Rep Ben Smith,Rep
COLL,132,PCT 132,2874,2016,6,1004,0,1012,Rep Ben Smith,Rep
COLL,133,PCT 133,2939,1791,0,1060,0,731,Rep Ben Smith,Rep
COLL,134,PCT 134,4149,2771,0,1547,0,1224,Rep Ben Smith,Rep
COLL,135,PCT 135,4286,2900,0,1529,0,1371,Rep Ben Smith,Rep
COLL,136,PCT 136,1978,1427,10,830,0,597,Rep Ben Smith,Rep
COLL,137,PCT 137,2004,1418,0,910,0,508,Rep Ben Smith,Rep
COLL,138,PCT 138,2349,1774,0,974,0,800,Rep Ben Smith,Rep
COLL,139,PCT 139,4130,2721,0,1416,0,1305,Rep Ben Smith,Rep
COLL,140,PCT 140,4848,3591,0,2428,0,1163,Rep Ben Smith,Rep
COLL,141,PCT 141,3514,2511,0,1412,0,1099,Rep Ben Smith,Rep
COLL,142,PCT 142,2797,2040,17,1105,0,935,Rep Ben Smith,Rep
COLL,143,PCT 143,2165,1543,0,933,0,610,Rep Ben Smith,Rep
COLL,144,PCT 144,2956,2072,1,1197,0,875,Rep Ben Smith,Rep
COLL,145,PCT 145,1780,1237,1,673,0,564,Rep Ben Smith,Rep
COLL,146,PCT 146,4860,3233,0,1793,0,1440,Rep Ben Smith,Rep
COLL,147,PCT 147,2281,1409,0,780,0,629,Rep Ben Smith,Rep
COLL,148,PCT 148,1133,851,0,478,0,373,Rep Ben Smith,Rep
COLL,149,PCT 149,4656,3337,0,2083,0,1254,Rep Ben Smith,Rep
COLL,150,PCT 150,2024,1621,0,1075,0,547,Rep Ben Smith,Rep
COLL,151,PCT 151,1856,1296,0,713,0,583,Rep Ben Smith,Rep
COLL,152,PCT 152,231,119,0,56,0,63,Rep Ben Smith,Rep
COLL,153,PCT 153,1225,860,0,509,0,351,Rep Ben Smith,Rep
COLL,154,PCT 154,2771,2102,0,1640,0,462,Rep Ben Smith,Rep
COLL,155,PCT 155,3016,2129,1,1352,0,777,Rep Ben Smith,Rep
COLL,156,PCT 156,3797,2569,0,1494,0,1075,Rep Ben Smith,Rep
COLL,157,PCT 157,4358,3111,1,1780,0,1331,Rep Ben Smith,Rep
COLL,158,PCT 158,2851,1955,0,1027,0,928,Rep Ben Smith,Rep
COLL,159,PCT 159,3385,2049,1,1105,0,944,Rep Ben Smith,Rep
COLL,160,PCT 160,530,430,0,359,0,71,Rep Ben Smith,Rep
COLL,161,PCT 161,298,192,0,130,0,62,Rep Ben Smith,Rep
