COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Kamala D. Harris/Tim Walz,Grn Jill Stein/Rudolph Ware,Lib Chase Oliver/Mike ter Maat,Rep Donald J. Trump/JD Vance,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,129,PCT 129,4643,3072,0,14,1385,33,19,1612,0,9,Rep Donald J. Trump/JD Vance,Rep,129
COLL,130,PCT 130,3972,2813,1,17,1392,97,20,1275,0,12,Dem Kamala D. Harris/Tim Walz,Dem,130
COLL,131,PCT 131,3151,2136,0,18,825,17,18,1243,0,15,Rep Donald J. Trump/JD Vance,Rep,131
COLL,132,PCT 132,2874,2016,6,9,1139,14,16,830,0,8,Dem Kamala D. Harris/Tim Walz,Dem,132
COLL,133,PCT 133,2939,1791,0,3,752,31,10,992,0,3,Rep Donald J. Trump/JD Vance,Rep,133
COLL,134,PCT 134,4149,2771,0,17,1344,87,10,1299,0,14,Dem Kamala D. Harris/Tim Walz,Dem,134
COLL,135,PCT 135,4286,2900,0,13,1452,105,16,1301,0,13,Dem Kamala D. Harris/Tim Walz,Dem,135
COLL,136,PCT 136,1978,1427,10,6,667,10,3,730,0,11,Rep Donald J. Trump/JD Vance,Rep,136
COLL,137,PCT 137,2004,1418,0,6,614,22,5,763,0,8,Rep Donald J. Trump/JD Vance,Rep,137
COLL,138,PCT 138,2349,1774,0,18,900,24,11,810,0,11,Dem Kamala D. Harris/Tim Walz,Dem,138
COLL,139,PCT 139,4130,2721,0,11,1410,87,18,1183,0,12,Dem Kamala D. Harris/Tim Walz,Dem,139
COLL,140,PCT 140,4848,3591,0,21,1285,27,33,2195,0,30,Rep Donald J. Trump/JD Vance,Rep,140
COLL,141,PCT 141,3514,2511,0,14,1204,100,25,1146,0,22,Dem Kamala D. Harris/Tim Walz,Dem,141
COLL,142,PCT 142,2797,2040,17,16,1066,16,18,913,0,11,Dem Kamala D. Harris/Tim Walz,Dem,142
COLL,143,PCT 143,2165,1543,0,16,704,9,9,799,0,6,Rep Donald J. Trump/JD Vance,Rep,143
COLL,144,PCT 144,2956,2072,1,9,862,74,13,1103,0,11,Rep Donald J. Trump/JD Vance,Rep,144
COLL,145,PCT 145,1780,1237,1,4,602,25,11,590,0,5,Dem Kamala D. Harris/Tim Walz,Dem,145
COLL,146,PCT 146,4860,3233,0,14,1524,49,12,1608,0,26,Rep Donald J. Trump/JD Vance,Rep,146
COLL,147,PCT 147,2281,1409,0,6,661,50,14,668,0,10,Rep Donald J. Trump/JD Vance,Rep,147
COLL,148,PCT 148,1133,851,0,2,281,127,8,425,0,8,Rep Donald J. Trump/JD Vance,Rep,148
