COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Simon Cardell,Rep Pat Fallon,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,177,PCT 177,3532,2228,0,813,1313,0,102,Rep Pat Fallon,Rep
COLL,178,PCT 178,3375,2404,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,179,PCT 179,4704,3766,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,180,PCT 180,3492,2359,1,986,1248,0,125,Rep Pat Fallon,Rep
COLL,181,PCT 181,3166,2049,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,182,PCT 182,4037,2765,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,183,PCT 183,171,120,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,184,PCT 184,3360,1910,0,910,898,0,102,Dem Simon Cardell,Dem
COLL,185,PCT 185,3352,2450,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,186,PCT 186,764,536,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,187,PCT 187,1044,697,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,188,PCT 188,731,488,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,189,PCT 189,1473,1016,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,190,PCT 190,1038,802,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,191,PCT 191,967,582,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,192,PCT 192,4114,2896,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,193,PCT 193,1341,896,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,194,PCT 194,3375,2400,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,195,PCT 195,935,674,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,196,PCT 196,2001,1352,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,197,PCT 197,1270,858,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,198,PCT 198,2904,2327,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,199,PCT 199,4135,3196,0,851,2229,0,116,Rep Pat Fallon,Rep
COLL,200,PCT 200,2726,1894,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,201,PCT 201,0,0,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,202,PCT 202,2,2,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,203,PCT 203,3182,2344,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,204,PCT 204,354,282,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,205,PCT 205,4103,2879,2,0,0,0,0,Dem Simon Cardell,Dem
COLL,206,PCT 206,2002,1431,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,207,PCT 207,4081,2925,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,208,PCT 208,4359,3323,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,209,PCT 209,172,125,0,45,74,0,5,Rep Pat Fallon,Rep
COLL,210,PCT 210,1746,1290,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,211,PCT 211,3433,2455,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,212,PCT 212,2600,1945,0,859,983,0,103,Rep Pat Fallon,Rep
COLL,213,PCT 213,3697,2611,0,1146,1321,0,144,Rep Pat Fallon,Rep
COLL,214,PCT 214,3776,2920,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,215,PCT 215,3503,2092,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,216,PCT 216,4771,3565,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,217,PCT 217,3140,2190,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,218,PCT 218,4297,3093,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,219,PCT 219,4559,3137,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,220,PCT 220,2465,1745,0,807,848,0,91,Rep Pat Fallon,Rep
COLL,221,PCT 221,2053,1470,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,222,PCT 222,3965,2870,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,223,PCT 223,2501,1839,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,224,PCT 224,3351,2568,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,225,PCT 225,3945,2807,2,1310,1333,0,164,Rep Pat Fallon,Rep
COLL,226,PCT 226,4404,2945,0,1356,1443,0,146,Rep Pat Fallon,Rep
COLL,227,PCT 227,4468,3160,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,228,PCT 228,4845,3037,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,229,PCT 229,2259,1494,0,710,719,0,65,Rep Pat Fallon,Rep
COLL,230,PCT 230,4953,3021,0,0,0,0,0,Dem Simon Cardell,Dem
