COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Hayden Padgett,Vidal Quintanilla,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,171,PCT 171,2912,85,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,172,PCT 172,3152,171,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,173,PCT 173,613,197,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,174,PCT 174,4506,259,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,175,PCT 175,2045,246,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,176,PCT 176,3706,122,0,46,66,0,10,Vidal Quintanilla,Vidal
COLLI,177,PCT 177,3447,229,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,178,PCT 178,3314,294,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,179,PCT 179,4574,1059,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,180,PCT 180,3435,336,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,181,PCT 181,3214,152,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,182,PCT 182,3888,157,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,183,PCT 183,0,0,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,184,PCT 184,3132,123,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,185,PCT 185,3395,365,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,186,PCT 186,753,104,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,187,PCT 187,1075,65,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,188,PCT 188,753,46,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,189,PCT 189,1592,21,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,190,PCT 190,1023,102,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,191,PCT 191,0,0,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,192,PCT 192,4396,78,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,193,PCT 193,1311,44,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,194,PCT 194,3631,165,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,195,PCT 195,887,106,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,196,PCT 196,1945,160,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,197,PCT 197,1239,117,0,43,64,0,10,Vidal Quintanilla,Vidal
COLLI,198,PCT 198,3266,194,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,199,PCT 199,4140,397,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,200,PCT 200,2919,352,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,201,PCT 201,0,0,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,202,PCT 202,0,0,0,0,0,0,0,Hayden Padgett,Hayden
