COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Colin Allred,Lib Ted Brown,Rep Ted Cruz,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,164,PCT 164,2330,1845,80,2,899,14,905,0,25,Rep Ted Cruz,Rep,164
COLL,165,PCT 165,972,736,0,0,272,28,425,0,11,Rep Ted Cruz,Rep,165
COLL,166,PCT 166,4384,3051,0,7,1429,106,1420,0,89,Dem Colin Allred,Dem,166
COLL,167,PCT 167,2192,1501,0,2,832,37,600,0,30,Dem Colin Allred,Dem,70
COLL,168,PCT 168,1966,1418,0,1,483,28,882,0,24,Rep Ted Cruz,Rep,168
COLL,169,PCT 169,3534,2485,2,2,1264,47,1132,0,40,Dem Colin Allred,Dem,169
COLL,170,PCT 170,1921,1364,0,1,541,20,782,0,20,Rep Ted Cruz,Rep,170
COLL,171,PCT 171,2980,1965,0,1,980,43,876,0,65,Dem Colin Allred,Dem,171
COLL,172,PCT 172,2941,2202,0,0,738,47,1393,0,24,Rep Ted Cruz,Rep,172
COLL,173,PCT 173,645,492,0,0,172,5,309,0,6,Rep Ted Cruz,Rep,173
COLL,174,PCT 174,4648,2951,2,6,1287,64,1539,0,55,Rep Ted Cruz,Rep,174
COLL,175,PCT 175,2083,1492,1,2,595,44,825,0,26,Rep Ted Cruz,Rep,175
COLL,176,PCT 176,4064,2194,0,0,1232,33,894,0,35,Dem Colin Allred,Dem,176
COLL,177,PCT 177,3532,2228,0,1,926,37,1239,0,25,Rep Ted Cruz,Rep,177
COLL,178,PCT 178,3375,2404,1,4,721,49,1599,0,31,Rep Ted Cruz,Rep,178
COLL,179,PCT 179,4704,3766,0,3,1175,37,2506,0,45,Rep Ted Cruz,Rep,179
COLL,180,PCT 180,3492,2359,1,5,1103,69,1125,0,57,Rep Ted Cruz,Rep,180
COLL,181,PCT 181,3166,2049,0,1,769,44,1199,0,36,Rep Ted Cruz,Rep,181
COLL,182,PCT 182,4037,2765,1,1,1365,52,1300,0,47,Dem Colin Allred,Dem,182
COLL,183,PCT 183,171,120,0,0,36,1,81,0,2,pct_int,pct_int,368
COLL,184,PCT 184,3360,1910,0,1,996,42,836,0,35,Dem Colin Allred,Dem,184
COLL,185,PCT 185,3352,2450,1,4,876,54,1474,0,42,Rep Ted Cruz,Rep,9
