COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Sandeep Srivastava,Rep Keith Self,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,258,PCT 258,3045,2073,1,0,0,0,0,pct_int,pct_int,72
COLL,259,PCT 259,3698,2420,0,979,1341,0,100,Rep Keith Self,Rep,40
COLL,260,PCT 260,438,319,0,0,0,0,0,pct_int,pct_int,2
COLL,261,PCT 261,3221,2306,0,751,1464,0,92,Rep Keith Self,Rep,135
COLL,262,PCT 262,3038,2081,0,0,0,0,0,pct_int,pct_int,97
COLL,263,PCT 263,2055,1544,1,0,0,0,0,pct_int,pct_int,11
COLL,264,PCT 264,3994,2746,0,0,0,0,0,pct_int,pct_int,24
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Sandeep Srivastava,Dem,0
COLL,266,PCT 266,62,42,0,0,0,0,0,pct_int,pct_int,1
COLL,267,PCT 267,19,13,0,0,0,0,0,Dem Sandeep Srivastava,Dem,0
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Sandeep Srivastava,Dem,0
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Sandeep Srivastava,Dem,0
COLL,270,PCT 270,2,1,0,0,0,0,0,Dem Sandeep Srivastava,Dem,0
COLL,271,PCT 271,1035,750,0,0,0,0,0,pct_int,pct_int,179
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Sandeep Srivastava,Dem,0
COLL,273,PCT 273,260,202,0,53,145,0,5,Rep Keith Self,Rep,1
