COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Gopal Ponangi,Jared Elad,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,169,PCT 169,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,170,PCT 170,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,171,PCT 171,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,172,PCT 172,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,173,PCT 173,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,174,PCT 174,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,175,PCT 175,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,176,PCT 176,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,177,PCT 177,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,178,PCT 178,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,179,PCT 179,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,180,PCT 180,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,181,PCT 181,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,182,PCT 182,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,183,PCT 183,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,184,PCT 184,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,185,PCT 185,2951,450,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,186,PCT 186,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,187,PCT 187,631,98,0,75,21,0,1,Gopal Ponangi,Gopal
COLLI,188,PCT 188,442,68,0,53,15,0,1,Gopal Ponangi,Gopal
COLLI,189,PCT 189,39,3,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,190,PCT 190,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,191,PCT 191,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,192,PCT 192,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,193,PCT 193,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,194,PCT 194,1917,140,0,64,73,0,3,Jared Elad,Jared
COLLI,195,PCT 195,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,196,PCT 196,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,197,PCT 197,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,198,PCT 198,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,199,PCT 199,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,200,PCT 200,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,201,PCT 201,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,202,PCT 202,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,203,PCT 203,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,204,PCT 204,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,205,PCT 205,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,206,PCT 206,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,207,PCT 207,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,208,PCT 208,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,209,PCT 209,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,210,PCT 210,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
