COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Andrew Rettke,Dash Weerasinghe,Elisa Klein,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,227,PCT 227,4356,223,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,228,PCT 228,4763,24,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,229,PCT 229,2313,202,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,230,PCT 230,4713,387,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,231,PCT 231,4150,621,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,232,PCT 232,3810,198,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,233,PCT 233,2065,96,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,234,PCT 234,3403,620,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,235,PCT 235,1903,202,0,11,17,54,0,24,Elisa Klein,Elisa
COLLI,236,PCT 236,2898,632,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,237,PCT 237,2314,165,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,238,PCT 238,3858,328,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,239,PCT 239,4102,371,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,240,PCT 240,4435,430,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,241,PCT 241,1502,324,0,55,55,133,0,81,Elisa Klein,Elisa
COLLI,242,PCT 242,3455,471,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,243,PCT 243,1642,232,0,6,5,14,0,5,Elisa Klein,Elisa
COLLI,244,PCT 244,3131,497,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,245,PCT 245,2585,173,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,246,PCT 246,2768,449,0,38,118,218,0,75,Elisa Klein,Elisa
COLLI,247,PCT 247,2408,495,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,248,PCT 248,2261,194,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,249,PCT 249,4715,350,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,250,PCT 250,3969,1133,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,251,PCT 251,2530,324,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,252,PCT 252,3197,338,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,253,PCT 253,3144,483,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,254,PCT 254,1264,6,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,255,PCT 255,3322,479,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,256,PCT 256,820,14,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,257,PCT 257,1423,12,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,258,PCT 258,2948,431,0,47,68,183,0,133,Elisa Klein,Elisa
COLLI,259,PCT 259,3591,524,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,260,PCT 260,447,78,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,261,PCT 261,3101,588,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,262,PCT 262,2918,289,0,15,35,90,0,25,Elisa Klein,Elisa
COLLI,263,PCT 263,2113,215,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,264,PCT 264,3853,625,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,265,PCT 265,0,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,266,PCT 266,60,8,0,1,2,4,0,1,Elisa Klein,Elisa
COLLI,267,PCT 267,19,2,0,0,1,1,0,0,Dash Weerasinghe,Dash
COLLI,268,PCT 268,0,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,269,PCT 269,0,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,270,PCT 270,2,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,271,PCT 271,985,106,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,272,PCT 272,1,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,273,PCT 273,271,17,0,0,0,0,0,0,Andrew Rettke,Andrew
