COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Darrel Evans,Rep Candy Noble,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,209,PCT 209,172,125,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,210,PCT 210,1746,1290,0,603,581,0,106,Dem Darrel Evans,Dem
COLL,211,PCT 211,3433,2455,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,212,PCT 212,2600,1945,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,213,PCT 213,3697,2611,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,214,PCT 214,3776,2920,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,215,PCT 215,3503,2092,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,216,PCT 216,4771,3565,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,217,PCT 217,3140,2190,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,218,PCT 218,4297,3093,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,219,PCT 219,4559,3137,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,220,PCT 220,2465,1745,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,221,PCT 221,2053,1470,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,222,PCT 222,3965,2870,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,223,PCT 223,2501,1839,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,224,PCT 224,3351,2568,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,225,PCT 225,3945,2807,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,226,PCT 226,4404,2945,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,227,PCT 227,4468,3160,0,1292,1654,0,214,Rep Candy Noble,Rep
COLL,228,PCT 228,4845,3037,1,1293,1505,0,239,Rep Candy Noble,Rep
COLL,229,PCT 229,2259,1494,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,230,PCT 230,4953,3021,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,231,PCT 231,3938,2850,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,232,PCT 232,3850,2755,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,233,PCT 233,2089,1443,0,507,841,0,95,Rep Candy Noble,Rep
COLL,234,PCT 234,3351,2585,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,235,PCT 235,1916,1332,3,0,0,0,0,Dem Darrel Evans,Dem
COLL,236,PCT 236,3015,2217,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,237,PCT 237,2345,1522,3,632,775,0,115,Rep Candy Noble,Rep
COLL,238,PCT 238,4043,2583,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,239,PCT 239,4293,3051,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,240,PCT 240,4358,3212,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,241,PCT 241,1549,1115,0,475,558,0,82,Rep Candy Noble,Rep
