COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,REP Glenn Hegar,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,221,PCT 221,2000,1119,0,338,22,731,0,29,REP Glenn Hegar,REP
COLL,222,PCT 222,3575,1933,0,867,28,1002,0,36,REP Glenn Hegar,REP
COLL,223,PCT 223,2154,1196,0,497,13,671,0,15,REP Glenn Hegar,REP
COLL,224,PCT 224,3036,1808,0,397,19,1368,0,24,REP Glenn Hegar,REP
COLL,225,PCT 225,3815,1819,0,884,30,873,0,32,DEM Janet T. Dudding,DEM
COLL,226,PCT 226,4365,2250,0,1046,52,1100,0,52,REP Glenn Hegar,REP
COLL,227,PCT 227,4310,2285,1,981,50,1202,0,52,REP Glenn Hegar,REP
COLL,228,PCT 228,4161,1703,0,785,48,832,0,37,REP Glenn Hegar,REP
COLL,229,PCT 229,1738,866,0,383,16,443,0,24,REP Glenn Hegar,REP
COLL,230,PCT 230,4826,2039,0,977,59,953,0,50,DEM Janet T. Dudding,DEM
COLL,231,PCT 231,3247,1754,0,672,46,995,0,41,REP Glenn Hegar,REP
COLL,232,PCT 232,3600,1991,0,710,50,1169,0,62,REP Glenn Hegar,REP
COLL,233,PCT 233,1922,968,0,348,29,569,0,22,REP Glenn Hegar,REP
COLL,234,PCT 234,2546,1484,0,705,19,731,0,29,REP Glenn Hegar,REP
COLL,235,PCT 235,1874,966,0,465,12,464,0,25,DEM Janet T. Dudding,DEM
COLL,236,PCT 236,2889,1678,0,510,31,1089,0,48,REP Glenn Hegar,REP
COLL,237,PCT 237,2253,1011,0,454,23,499,0,35,REP Glenn Hegar,REP
COLL,238,PCT 238,3923,1715,0,866,42,767,0,40,DEM Janet T. Dudding,DEM
COLL,239,PCT 239,4257,2284,0,589,37,1619,0,39,REP Glenn Hegar,REP
COLL,240,PCT 240,6041,3348,0,831,67,2399,0,51,REP Glenn Hegar,REP
COLL,241,PCT 241,1507,870,3,355,20,466,0,29,REP Glenn Hegar,REP
